lead_author,date_published,country,sample_size,study_setting,median_age,iqr_lower,iqr_upper,mean_age,lower_range,upper_range,standard_deviation,female_sex_percent,current_percentage,former_percentage,current_former_percentage,never_smoker_percentage,never_smoker_unknown_percentage,not_stated_percentage,missing_percentage
petrilli,2020-04-11,usa,4103,community_and_hospital,52,36,65,NA,NA,NA,NA,47.9,5.1669510114550325,16.23202534730685,NA,NA,78.60102364123811,NA,NA
chow_us_cdc,2020-03-31,usa,7162,community_and_hospital,NA,NA,NA,NA,NA,NA,NA,NA,1.3404077073443172,2.3038257469980454,NA,NA,NA,NA,96.35576654565764
dong_cao,2020-03-20,china,9,hospital,44,30,46,NA,NA,NA,NA,66.7,11.11111111111111,NA,NA,NA,NA,88.88888888888889,NA
kim,2020-04-01,korea,28,hospital,43,30,56,NA,NA,NA,NA,46.400000000000006,17.857142857142858,NA,NA,NA,NA,78.57142857142857,3.571428571428571
shi_yu,2020-03-18,china,487,hospital,46,27,65,NA,NA,NA,NA,46.800000000000004,NA,NA,8.213552361396303,NA,NA,89.11704312114989,2.6694045174537986
yang_yu,2020-02-24,china,52,hospital,60,47,73,NA,NA,NA,NA,37,3.8461538461538463,NA,NA,NA,NA,96.15384615384616,NA
argenziano,2020-04-22,usa,1000,hospital,63,50,75,NA,NA,NA,NA,40.400000000000006,4.9,17.9,NA,77.2,NA,NA,NA
solis,2020-04-25,mexico,650,hospital,46,NA,NA,NA,NA,NA,NA,42.1,9.384615384615385,NA,NA,NA,NA,90.61538461538461,NA
richardson,2020-04-22,usa,5700,hospital,63,52,75,NA,NA,NA,NA,39.7,NA,NA,9.789473684210526,52.78947368421053,NA,NA,37.42105263157895
fontanet,2020-04-23,france,661,community_and_hospital,37,16,47,NA,NA,NA,NA,62,10.43872919818457,NA,NA,NA,89.56127080181543,NA,NA
zheng_gao,2020-04-19,china,66,hospital,NA,NA,NA,47,NA,NA,NA,25.8,12.121212121212121,NA,NA,NA,NA,87.87878787878788,NA
liao_feng,2020-04-24,china,1848,hospital,55,48,61,NA,NA,NA,NA,54.7,NA,NA,0.4329004329004329,NA,NA,7.575757575757576,91.991341991342
rodriguez,2020-04-24,spain,7,hospital,68,34,75,NA,NA,NA,NA,28.599999999999998,NA,NA,42.857142857142854,57.14285714285714,NA,NA,NA
magagnoli,2020-04-16,usa,368,hospital,69,59,75,NA,NA,NA,NA,0,NA,NA,14.130434782608695,NA,NA,85.86956521739131,NA
shi_ren,2020-04-23,china,134,hospital,46,34,58,NA,NA,NA,NA,51.5,NA,NA,10.44776119402985,NA,NA,89.55223880597015,NA
hadjadj,2020-04-23,france,50,hospital,55,50,63,NA,NA,NA,NA,22,2,18,NA,80,NA,NA,NA
niedzwiedz,2020-04-30,uk,1474,community_and_hospital,NA,NA,NA,NA,NA,NA,NA,NA,9.981902037480296,34.382625955981084,NA,55.043727012668576,NA,NA,0.591744993870045
gold_us_cdc,2020-04-20,usa,305,hospital,NA,NA,NA,NA,NA,NA,NA,50.5,5.245901639344262,NA,NA,NA,NA,NA,94.75409836065573
mehra,2020-05-01,multiple,8910,hospital,NA,NA,NA,49,NA,NA,NA,40,5.510662177328844,16.756453423120092,NA,NA,NA,77.73288439955107,NA
yu_cai,2020-04-27,china,95,hospital,NA,NA,NA,NA,NA,NA,NA,44.21,8.421052631578947,NA,NA,NA,NA,91.57894736842105,NA
zheng_xiong,2020-04-30,china,73,hospital,NA,NA,NA,43,NA,NA,NA,45.2,NA,NA,10.95890410958904,89.04109589041096,NA,NA,NA
miyara_updated,2020-05-09,france,479,community_and_hospital,NA,NA,NA,NA,NA,NA,NA,44.7,6.6805845511482245,31.732776617954073,NA,59.707724425887264,NA,NA,1.8789144050104383
de_la_rica,2020-05-11,spain,48,hospital,NA,NA,NA,66,33,88,NA,33,NA,NA,20.833333333333336,NA,NA,77.08333333333334,2.083333333333333
yin_yang,2020-05-10,china,106,hospital,73,NA,NA,NA,NA,NA,12,39.6,NA,NA,16.9811320754717,NA,NA,83.01886792452831,NA
gaibazzi,2020-05-10,italy,441,hospital,71,62,80,NA,NA,NA,NA,38,4.761904761904762,9.977324263038549,NA,85.26077097505669,NA,NA,NA
shi_zuo,2020-05-10,usa,96,hospital,NA,NA,NA,63,NA,NA,19,41,NA,NA,30.208333333333332,NA,NA,69.79166666666666,NA
cho,2020-05-11,uk,1331,community_and_hospital,NA,NA,NA,NA,NA,NA,NA,49.2,19.00826446280992,26.972201352366643,NA,54.019534184823435,NA,NA,NA
allenbach,2020-05-08,france,152,hospital,77,60,83,NA,NA,NA,NA,31.1,NA,NA,6.578947368421052,NA,NA,93.42105263157895,NA
robilotti,2020-05-08,usa,423,hospital,NA,NA,NA,NA,NA,NA,NA,50,2.127659574468085,37.5886524822695,NA,58.62884160756501,NA,NA,1.6548463356973995
opensafely_collaborative,2020-05-07,uk,17425445,community_and_hospital,NA,NA,NA,NA,NA,NA,NA,50.1,17.000271729072054,32.92624664678578,NA,45.91104560027018,NA,NA,4.162436023871987
borobia,2020-05-06,spain,2226,hospital,61,46,78,NA,NA,NA,NA,52,7.053009883198562,NA,NA,NA,NA,92.94699011680144,NA
giacomelli,2020-05-06,italy,233,hospital,61,50,72,NA,NA,NA,NA,31.9,NA,NA,30.042918454935624,69.95708154506438,NA,NA,NA
shah,2020-05-06,usa,316,hospital,63,43,72,NA,NA,NA,NA,48.1,16.455696202531644,17.72151898734177,NA,42.08860759493671,NA,NA,23.734177215189874
bello_chavolla,2020-05-06,mexico,62489,community_and_hospital,NA,NA,NA,NA,NA,NA,NA,49.4,NA,NA,9.936148762182144,NA,NA,90.06385123781786,NA
kolin,2020-05-05,uk,1474,community_and_hospital,58,NA,NA,NA,NA,NA,9,46.6,14.450474898236093,40.16282225237449,NA,44.57259158751696,NA,NA,0.8141112618724559
lubetzky,2020-05-08,usa,54,hospital,57,NA,NA,NA,29,83,NA,62,NA,NA,22.22222222222222,NA,NA,77.77777777777779,NA
goyal,2020-04-17,usa,393,hospital,62.2,49,74,NA,NA,NA,NA,39.3,5.089058524173027,NA,NA,NA,NA,94.91094147582697,NA
feng,2020-04-10,china,476,hospital,53,40,64,NA,NA,NA,NA,43.1,6.512605042016808,2.73109243697479,NA,86.1344537815126,NA,NA,4.621848739495799
yao,2020-04-24,china,108,hospital,52,37,58,NA,NA,NA,NA,60.2,3.7037037037037033,NA,NA,NA,NA,NA,96.29629629629629
sami,2020-05-15,iran,490,hospital,56.6,NA,NA,NA,NA,NA,15,39,14.081632653061224,NA,NA,NA,85.91836734693878,NA,NA
almazeedi,2020-05-15,kuwait,1096,hospital,41,25,57,NA,NA,NA,NA,19,4.014598540145985,NA,NA,NA,95.98540145985402,NA,NA
carrillo_vega,2020-05-14,mexico,10544,community_and_hospital,NA,NA,NA,46.5,NA,NA,15.6,42.3,8.877086494688923,NA,NA,NA,NA,91.12291350531108,NA
yanover,2020-05-13,israel,4353,community_and_hospital,35,22,54,NA,NA,NA,NA,44.5,11.80794854123593,2.963473466574776,NA,85.22857799218929,NA,NA,NA
hamer,2020-05-13,uk,387109,hospital,56.2,NA,NA,NA,NA,NA,8,55.1,9.668077983203698,34.83644141572529,NA,55.49548060107101,NA,NA,NA
regina,2020-05-14,switzerland,200,hospital,70,55,81,NA,NA,NA,NA,40,4.5,NA,NA,NA,NA,95.5,NA
isaric_4,2020-05-06,multiple,20276,hospital,72,NA,NA,NA,0,104,NA,40,NA,NA,4.848096271453936,48.880449792858556,NA,NA,46.27145393568751
de_lusignan,2020-05-15,uk,3802,community,58,34,73,NA,NA,NA,NA,57.6,10.862703840084166,46.10731194108364,NA,NA,29.58968963703314,NA,13.440294581799053
