lead_author,sample_size,female_sex_percent,data_source,date_published,country,median_age,mean_age,iqr_lower,iqr_upper,lower_range,upper_range,standard_deviation,current_smoker,former_smoker,current_former_smoker,never_smoker,never_smoker_unknown,not_stated,missing,total
wang_pan,125,43.2,electronic_health_records,2020-03-24,china,41,NA,26,66,NA,NA,NA,NA,NA,16,NA,NA,109,NA,125
isaric_1,3316,37,case_report_form,2020-04-08,multiple,NA,71,NA,NA,0,104,NA,NA,NA,150,1390,NA,NA,1776,3316
petrilli,4103,47.9,electronic_health_records,2020-04-11,usa,52,NA,36,65,NA,NA,NA,212,666,NA,NA,3225,NA,NA,4103
chow_us_cdc,7162,NA,case_report_form,2020-03-31,usa,NA,NA,NA,NA,NA,NA,NA,96,165,NA,NA,NA,NA,6901,7162
miyara_old,482,43,case_report_form,2020-04-21,france,NA,NA,NA,NA,NA,NA,NA,34,285,NA,154,NA,NA,9,482
dong_cao,9,66.7,electronic_health_records,2020-03-20,china,44,NA,30,46,NA,NA,NA,1,NA,NA,NA,NA,8,NA,9
kim,28,46.400000000000006,electronic_health_records,2020-04-01,korea,43,NA,30,56,NA,NA,NA,5,NA,NA,NA,NA,22,1,28
shi_yu,487,46.800000000000004,case_report_form,2020-03-18,china,46,NA,27,65,NA,NA,NA,NA,NA,40,NA,NA,434,13,487
yang_yu,52,37,case_report_form,2020-02-24,china,60,NA,47,73,NA,NA,NA,2,NA,NA,NA,NA,50,NA,52
argenziano,1000,40.400000000000006,case_report_form,2020-04-22,usa,63,NA,50,75,NA,NA,NA,49,179,NA,772,NA,NA,NA,1000
solis,650,42.1,electronic_health_records,2020-04-25,mexico,46,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,589,NA,650
richardson,5700,39.7,electronic_health_records,2020-04-22,usa,63,NA,52,75,NA,NA,NA,NA,NA,558,3009,NA,NA,2133,5700
fontanet,661,62,case_report_form,2020-04-23,france,37,NA,16,47,NA,NA,NA,69,NA,NA,NA,592,NA,NA,661
zheng_gao,66,25.8,not_stated,2020-04-19,china,NA,47,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,58,NA,66
liao_feng,1848,54.7,electronic_health_records,2020-04-24,china,55,NA,48,61,NA,NA,NA,NA,NA,8,NA,NA,140,1700,1848
rodriguez,7,28.599999999999998,electronic_health_records,2020-04-24,spain,68,NA,34,75,NA,NA,NA,NA,NA,3,4,NA,NA,NA,7
magagnoli,368,0,electronic_health_records,2020-04-16,usa,69,NA,59,75,NA,NA,NA,NA,NA,52,NA,NA,316,NA,368
shi_ren,134,51.5,case_report_form,2020-04-23,china,46,NA,34,58,NA,NA,NA,NA,NA,14,NA,NA,120,NA,134
hadjadj,50,22,electronic_health_records,2020-04-23,france,55,NA,50,63,NA,NA,NA,1,9,NA,40,NA,NA,NA,50
niedzwiedz,1474,NA,case_report_form,2020-04-30,uk,NA,NA,NA,NA,NA,NA,NA,42745,147235,NA,235711,NA,NA,2534,428225
isaric_2,5924,37,case_report_form,2020-04-20,multiple,71,NA,NA,NA,0,104,NA,NA,NA,514,5410,NA,NA,6264,12188
gold_us_cdc,305,50.5,case_report_form,2020-04-20,usa,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,289,305
mehra,8910,40,case_report_form,2020-05-01,multiple,NA,49,NA,NA,NA,NA,NA,491,1493,NA,NA,NA,6926,NA,8910
isaric_3,19463,39.5,case_report_form,2020-04-27,multiple,71,NA,NA,NA,0,104,NA,NA,NA,911,9401,NA,NA,9151,19463
yu_cai,95,44.21,electronic_health_records,2020-04-27,china,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,87,NA,95
zheng_xiong,73,45.2,not_stated,2020-04-30,china,NA,43,NA,NA,NA,NA,NA,NA,NA,8,65,NA,NA,NA,73
miyara_updated,479,44.7,case_report_form,2020-05-09,france,NA,NA,NA,NA,NA,NA,NA,32,152,NA,286,NA,NA,9,479
de_la_rica,48,33,electronic_health_records,2020-05-11,spain,NA,66,NA,NA,33,88,NA,NA,NA,10,NA,NA,37,1,48
yin_yang,106,39.6,electronic_health_records,2020-05-10,china,73,NA,NA,NA,NA,NA,12,NA,NA,18,NA,NA,88,NA,106
gaibazzi,441,38,case_report_form,2020-05-10,italy,71,NA,62,80,NA,NA,NA,21,44,NA,376,NA,NA,NA,441
shi_zuo,96,41,not_stated,2020-05-10,usa,NA,63,NA,NA,NA,NA,19,NA,NA,29,NA,NA,67,NA,96
cho,1331,49.2,case_report_form,2020-05-11,uk,NA,NA,NA,NA,NA,NA,NA,253,359,NA,719,NA,NA,NA,1331
allenbach,152,31.1,electronic_health_records,2020-05-08,france,77,NA,60,83,NA,NA,NA,NA,NA,10,NA,NA,142,NA,152
robilotti,423,50,electronic_health_records,2020-05-08,usa,NA,NA,NA,NA,NA,NA,NA,9,159,NA,248,NA,NA,7,423
opensafely_collaborative,17425445,50.1,electronic_health_records,2020-05-07,uk,NA,NA,NA,NA,NA,NA,NA,2962373,5737545,NA,8000204,NA,NA,725323,17425445
borobia,2226,52,case_report_form,2020-05-06,spain,61,NA,46,78,NA,NA,NA,157,NA,NA,NA,NA,2069,NA,2226
giacomelli,233,31.9,case_report_form,2020-05-06,italy,61,NA,50,72,NA,NA,NA,NA,NA,70,163,NA,NA,NA,233
shah,316,48.1,case_report_form,2020-05-06,usa,63,NA,43,72,NA,NA,NA,52,56,NA,133,NA,NA,75,316
bello_chavolla,62489,49.4,electronic_health_records,2020-05-06,mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,6209,NA,NA,56280,NA,62489
kolin,1474,46.6,electronic_health_records,2020-05-05,uk,58,NA,NA,NA,NA,NA,9,213,592,NA,657,NA,NA,12,1474
lubetzky,54,62,electronic_health_records,2020-05-08,usa,57,NA,NA,NA,29,83,NA,NA,NA,12,NA,NA,42,NA,54
goyal,393,39.3,electronic_health_records,2020-04-17,usa,62.2,NA,49,74,NA,NA,NA,20,NA,NA,NA,NA,373,NA,393
feng,476,43.1,electronic_health_records,2020-04-10,china,53,NA,40,64,NA,NA,NA,31,13,NA,410,NA,NA,22,476
yao,108,60.2,electronic_health_records,2020-04-24,china,52,NA,37,58,NA,NA,NA,4,NA,NA,NA,NA,NA,104,108
sami,490,39,case_report_form,2020-05-15,iran,56.6,NA,NA,NA,NA,NA,15,69,NA,NA,NA,421,NA,NA,490
almazeedi,1096,19,case_report_form,2020-05-15,kuwait,41,NA,25,57,NA,NA,NA,44,NA,NA,NA,1052,NA,NA,1096
carrillo_vega,10544,42.3,electronic_health_records,2020-05-14,mexico,NA,46.5,NA,NA,NA,NA,15.6,936,NA,NA,NA,NA,9608,NA,10544
yanover,4353,44.5,electronic_health_records,2020-05-13,israel,35,NA,22,54,NA,NA,NA,514,129,NA,3710,NA,NA,NA,4353
hamer,387109,55.1,electronic_health_records,2020-05-13,uk,56.2,NA,NA,NA,NA,NA,8,37426,134855,NA,214828,NA,NA,NA,387109
regina,200,40,electronic_health_records,2020-05-14,switzerland,70,NA,55,81,NA,NA,NA,9,NA,NA,NA,NA,191,NA,200
isaric_4,20276,40,case_report_form,2020-05-06,multiple,72,NA,NA,NA,0,104,NA,NA,NA,983,9911,NA,NA,9382,20276
de_lusignan,3802,57.6,electronic_health_records,2020-05-15,uk,58,NA,34,73,NA,NA,NA,413,1753,NA,NA,1125,NA,511,3802
